news_id,title,published_at,published_datetime,published_date,pdf_url,pdf_file,text_file,text_length,status,n_pos,n_neg,sum_pos,sum_neg,simple_index,score_index,total_lemmas,coverage,has_lex_hits
0,Contracte cf. art. 234 lit. i) Reg. 5 din 2018,15.12.2025 14:58:18,2025-12-15 14:58:18,2025-12-15,https://www.bvb.ro/infocont/infocont25/SNG_20251215145610_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5.pdf,bvb_sng_stiri\pdfs\SNG_20251215145610_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5.pdf,bvb_sng_stiri\texts\SNG_20251215145610_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5.txt,1876,ok,0,0,0.0,0.0,0.0,0.0,230,0.0,False
1,Contracte cf. art. 234 lit. i) Reg. 5 din 2018,15.12.2025 14:58:18,2025-12-15 14:58:18,2025-12-15,https://www.bvb.ro/infocont/infocont25/SNG_20251215145610_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-20.pdf,bvb_sng_stiri\pdfs\SNG_20251215145610_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-20.pdf,bvb_sng_stiri\texts\SNG_20251215145610_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-20.txt,1996,ok,1,1,0.25,-0.25,0.0,0.0,248,0.008064516129032258,True
2,ROMGAZ continua angajamentul ferm de investitii in perimetrul Neptun Deep,10.12.2025 15:55:23,2025-12-10 15:55:23,2025-12-10,https://www.bvb.ro/infocont/infocont25/SNG_20251210154737_ROMGAZ-continua-angajamentul-ferm-de-investitii-in-perimetru.pdf,bvb_sng_stiri\pdfs\SNG_20251210154737_ROMGAZ-continua-angajamentul-ferm-de-investitii-in-perimetru.pdf,bvb_sng_stiri\texts\SNG_20251210154737_ROMGAZ-continua-angajamentul-ferm-de-investitii-in-perimetru.txt,4877,ok,13,3,5.75,-0.75,0.625,0.7692307692307693,660,0.024242424242424242,True
3,ROMGAZ continua angajamentul ferm de investitii in perimetrul Neptun Deep,10.12.2025 15:55:23,2025-12-10 15:55:23,2025-12-10,https://www.bvb.ro/infocont/infocont25/SNG_20251210154737_ROMGAZ-remains-strongly-committed-to-invest-in-Neptun-Deep-B.pdf,bvb_sng_stiri\pdfs\SNG_20251210154737_ROMGAZ-remains-strongly-committed-to-invest-in-Neptun-Deep-B.pdf,bvb_sng_stiri\texts\SNG_20251210154737_ROMGAZ-remains-strongly-committed-to-invest-in-Neptun-Deep-B.txt,4328,ok,1,0,0.25,0.0,1.0,1.0,601,0.0016638935108153079,True
4,Contract cf. art. 234 lit. i) Reg. ASF 5 din 2018,10.12.2025 15:45:14,2025-12-10 15:45:14,2025-12-10,https://www.bvb.ro/infocont/infocont25/SNG_20251210154155_Current-report---Contract-acc-to-art-234-letter-i-Reg-5.pdf,bvb_sng_stiri\pdfs\SNG_20251210154155_Current-report---Contract-acc-to-art-234-letter-i-Reg-5.pdf,bvb_sng_stiri\texts\SNG_20251210154155_Current-report---Contract-acc-to-art-234-letter-i-Reg-5.txt,1735,ok,0,0,0.0,0.0,0.0,0.0,209,0.0,False
5,Contract cf. art. 234 lit. i) Reg. ASF 5 din 2018,10.12.2025 15:45:14,2025-12-10 15:45:14,2025-12-10,https://www.bvb.ro/infocont/infocont25/SNG_20251210154155_Raport-curent---Contract-cf-art-234-lit-i-Reg-5-din-201.pdf,bvb_sng_stiri\pdfs\SNG_20251210154155_Raport-curent---Contract-cf-art-234-lit-i-Reg-5-din-201.pdf,bvb_sng_stiri\texts\SNG_20251210154155_Raport-curent---Contract-cf-art-234-lit-i-Reg-5-din-201.txt,1832,ok,1,1,0.25,-0.25,0.0,0.0,223,0.008968609865470852,True
6,Contract cf. art. 234 lit. i) Reg. ASF 5 din 2018,09.12.2025 17:18:41,2025-12-09 17:18:41,2025-12-09,https://www.bvb.ro/infocont/infocont25/SNG_20251209171458_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5-f.pdf,bvb_sng_stiri\pdfs\SNG_20251209171458_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5-f.pdf,bvb_sng_stiri\texts\SNG_20251209171458_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5-f.txt,2897,ok,0,0,0.0,0.0,0.0,0.0,358,0.0,False
7,Contract cf. art. 234 lit. i) Reg. ASF 5 din 2018,09.12.2025 17:18:41,2025-12-09 17:18:41,2025-12-09,https://www.bvb.ro/infocont/infocont25/SNG_20251209171458_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-2018.pdf,bvb_sng_stiri\pdfs\SNG_20251209171458_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-2018.pdf,bvb_sng_stiri\texts\SNG_20251209171458_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-2018.txt,3044,ok,2,3,0.5,-0.75,-0.2,-0.2,350,0.014285714285714285,True
8,Contract cf. art. 234 lit. i) Reg. ASF 5 din 2018,05.12.2025 16:03:19,2025-12-05 16:03:19,2025-12-05,https://www.bvb.ro/infocont/infocont25/SNG_20251205155729_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5-f.pdf,bvb_sng_stiri\pdfs\SNG_20251205155729_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5-f.pdf,bvb_sng_stiri\texts\SNG_20251205155729_Current-report---Contracts-acc-to-art-234-letter-i-Reg-5-f.txt,3290,ok,0,0,0.0,0.0,0.0,0.0,406,0.0,False
9,Contract cf. art. 234 lit. i) Reg. ASF 5 din 2018,05.12.2025 16:03:19,2025-12-05 16:03:19,2025-12-05,https://www.bvb.ro/infocont/infocont25/SNG_20251205155729_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-2018.pdf,bvb_sng_stiri\pdfs\SNG_20251205155729_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-2018.pdf,bvb_sng_stiri\texts\SNG_20251205155729_Raport-curent---Contracte-cf-art-234-lit-i-Reg-5-din-2018.txt,3429,ok,2,5,0.5,-1.25,-0.42857142857142855,-0.42857142857142855,392,0.017857142857142856,True
